date,y,clim,p_vix,p_vix_driftless,p_vix_bgk,p_m1,p_m2,p_m3,p_m3_pk,p_m3_har96,p_v0ref,har_fc_20,refit_year,block24,block18
2003-06-26,0,0.2119895743,0.3569491827,0.3479765734,0.2935537037,0.1921266423,0.2004537098,0.1741585716,0.1760648981,0.2089509078,,0.1702317821,2003,1,1
2003-06-27,0,0.2119895743,0.3507902388,0.3419713634,0.2881219761,0.1878805623,0.1922789737,0.1732311168,0.1763515186,0.2197131382,,0.1643482605,2003,1,1
2003-06-30,0,0.2119895743,0.3599968426,0.350948181,0.2962448125,0.1942423082,0.1978940451,0.1783648706,0.1785263549,0.2213320404,,0.16335703,2003,1,1
2003-07-01,0,0.2119895743,0.3584756309,0.3494649284,0.2949012977,0.1931850821,0.2058908923,0.1796053175,0.18200491,0.2112988385,,0.181217049,2003,1,1
2003-07-02,0,0.2119895743,0.3474186003,0.3386839077,0.2851522413,0.1855726348,0.1863687686,0.1630356159,0.1663139839,0.2083826067,,0.1595481073,2003,1,1
2003-07-03,0,0.2119895743,0.3566942303,0.3477279838,0.2933286775,0.1919500945,0.2040674826,0.1781539168,0.1785560391,0.211190981,,0.1798450728,2003,1,1
2003-07-07,0,0.2119895743,0.3734512212,0.3640669829,0.3081510466,0.203699153,0.2102375114,0.1772814167,0.1758423361,0.2011263346,,0.1749591707,2003,1,1
2003-07-08,0,0.2119895743,0.3589833054,0.3499599344,0.295349609,0.1935376419,0.1952246276,0.16568987,0.1666707031,0.2004029165,,0.1652970673,2003,1,1
2003-07-09,0,0.2119895743,0.3448079164,0.3361384184,0.2828546093,0.1837935651,0.188637974,0.1622442692,0.1622198401,0.2030900685,,0.1630097255,2003,1,1
2003-07-10,0,0.2119895743,0.3515647855,0.3427265735,0.2888045761,0.1884123958,0.1966003099,0.1723464305,0.1706267553,0.2111084481,,0.1709852894,2003,1,1
2003-07-11,0,0.2119895743,0.3326068935,0.3242422062,0.2721382552,0.1755703045,0.1733058154,0.153596091,0.1553985888,0.209558036,,0.1494022699,2003,1,1
2003-07-14,0,0.2119895743,0.36176489,0.3526721144,0.2978070106,0.1954741243,0.203035094,0.1728439835,0.1700467795,0.2027434106,,0.1689976023,2003,1,1
2003-07-15,0,0.2119895743,0.3607554307,0.3516878412,0.2969149905,0.1947704229,0.2008419359,0.1725772717,0.171475589,0.2054481816,,0.1688183781,2003,1,1
2003-07-16,0,0.2119895743,0.3660289082,0.3568297616,0.3015775835,0.1984584272,0.2035844605,0.1772731386,0.1773898044,0.2105898848,,0.1685112356,2003,1,1
2003-07-17,0,0.2119895743,0.3773567571,0.3678751605,0.3116150436,0.2064804628,0.215047558,0.1910304079,0.1893839139,0.2199601548,,0.1767253901,2003,1,1
2003-07-18,0,0.2119895743,0.3494964355,0.3407098618,0.2869820771,0.1869935613,0.195051419,0.1719336367,0.1704284927,0.2126273823,,0.1748008432,2003,1,1
2003-07-21,0,0.2119895743,0.3665278137,0.3573162231,0.3020190309,0.1988088557,0.2027661982,0.1836791512,0.1855620584,0.2243357712,,0.1693343087,2003,1,1
2003-07-22,0,0.2119895743,0.3510485604,0.342223236,0.2883496165,0.1880578673,0.1958422065,0.1743064411,0.173983546,0.216162463,,0.1731823188,2003,1,1
2003-07-23,0,0.2119895743,0.3371527686,0.3286744907,0.2761267887,0.1786166888,0.183630856,0.1652518812,0.1649240683,0.2170200016,,0.1665980704,2003,1,1
2003-07-24,0,0.2119895743,0.3360870656,0.3276354146,0.2751912976,0.1779006663,0.1880296913,0.1703676613,0.1714988367,0.2202414254,,0.1738434176,2003,1,1
2003-07-25,0,0.2119895743,0.3128740767,0.3050027774,0.2548831484,0.1625819644,0.1749323223,0.1537627461,0.1565871819,0.206363852,,0.177208332,2003,1,1
2003-07-28,0,0.2119895743,0.3296424539,0.3213518557,0.26953996,0.173594765,0.1801590952,0.1605851802,0.1615969183,0.2127468145,,0.1691658389,2003,1,1
2003-07-29,0,0.2119895743,0.3379505234,0.3294523144,0.2768272494,0.1791534265,0.1871380248,0.1675480481,0.1688233112,0.2159979593,,0.1714131805,2003,1,1
2003-07-30,0,0.2119895743,0.3427086809,0.3340916122,0.2810082749,0.1823680482,0.1814507817,0.1661083231,0.1668553093,0.2227383383,,0.1579241104,2003,1,1
2003-07-31,0,0.2119895743,0.3592369097,0.3502072105,0.2955735817,0.1937138608,0.204023615,0.1809023579,0.1800911753,0.2166638811,,0.1777062135,2003,1,1
2003-08-01,0,0.2119895743,0.3900337986,0.3802363567,0.3228830155,0.2156227726,0.2142638507,0.1952721257,0.1951851706,0.2296794659,,0.1620932693,2003,1,1
2003-08-04,0,0.2119895743,0.4020903254,0.3919927522,0.3336333899,0.2244830055,0.2315894507,0.2074041605,0.206854215,0.2266782254,,0.1792065188,2003,1,1
2003-08-05,0,0.2119895743,0.4329600037,0.4220952025,0.3613075764,0.247932066,0.2491587864,0.2319805135,0.2360826627,0.2461127266,,0.1758362314,2003,1,1
2003-08-06,0,0.2119895743,0.4073050478,0.3970777413,0.3382933435,0.2283662302,0.2336936872,0.2161808075,0.2166448736,0.2396773918,,0.1797398711,2003,1,1
2003-08-07,0,0.2119895743,0.3783274369,0.3688216467,0.3124765288,0.2071742842,0.2086672371,0.1928689675,0.1950679433,0.2333757178,,0.1683705712,2003,1,1
2003-08-08,0,0.2119895743,0.36176489,0.3526721144,0.2978070106,0.1954741243,0.19542534,0.1816619273,0.1811421994,0.2320588907,,0.1630134011,2003,1,1
2003-08-11,0,0.2119895743,0.3657792498,0.3565863304,0.3013566995,0.1982831674,0.1989140865,0.1831178206,0.1845387628,0.2293938557,,0.1606425866,2003,1,1
2003-08-12,0,0.2119895743,0.3181567638,0.3101533308,0.2594931395,0.1660220098,0.1668247323,0.1542930978,0.1562394732,0.221926494,,0.1519294181,2003,1,1
