date,state_fang,state_macd,state_fg,state_vix,state_ma,state_eod,state_lead,state_btc,score_d,score_w,score_m,trend_d,trend_w,trend_m,overall_d,overall_w,overall_m,tone,verdict_ko,n_watch_avail,fg_avail,eod_avail,n_leaders,spy_close,vix_close
2021-12-08,G2R,R2G,AMBER,AMBER,GREEN,AMBER,GREEN,G2R,0.220000,-0.177778,0.322222,1,1,0,R2G,R2G,AMBER,buy,바닥을 다지는 중,25,True,False,6,440.233673,19.900000
2021-12-09,G2R,R2G,AMBER,AMBER,GREEN,AMBER,AMBER,G2R,0.113333,-0.533333,0.322222,1,1,0,R2G,R2G,AMBER,buy,바닥을 다지는 중,25,True,False,4,437.261444,21.580000
2021-12-10,AMBER,GREEN,AMBER,AMBER,GREEN,AMBER,AMBER,G2R,0.293333,-0.444444,0.322222,1,1,0,R2G,R2G,AMBER,buy,바닥을 다지는 중,25,True,False,3,441.377563,18.690001
2021-12-13,G2R,GREEN,AMBER,AMBER,GREEN,AMBER,AMBER,G2R,0.213333,-0.577778,0.322222,0,0,0,AMBER,RED,AMBER,neutral,방향이 뚜렷하지 않음,25,True,False,1,437.467621,20.309999
2021-12-14,G2R,GREEN,AMBER,AMBER,GREEN,AMBER,AMBER,G2R,0.213333,-0.577778,0.322222,1,-1,-1,R2G,RED,G2R,caution,바닥 신호가 살짝 보임,25,True,False,2,434.457947,21.889999
2021-12-15,G2R,GREEN,AMBER,AMBER,GREEN,AMBER,AMBER,G2R,0.213333,-0.077778,0.322222,0,1,-1,AMBER,R2G,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,2,441.246307,19.290001
2021-12-16,G2R,GREEN,AMBER,AMBER,GREEN,AMBER,AMBER,AMBER,0.280000,-0.577778,0.322222,0,0,-1,AMBER,RED,G2R,reduce,나쁜 쪽에 가까움,25,True,False,3,437.355194,20.570000
2021-12-17,G2R,RED,AMBER,AMBER,GREEN,AMBER,AMBER,AMBER,-0.120000,-0.577778,0.322222,-1,-1,0,G2R,RED,AMBER,reduce,나쁜 쪽에 가까움,25,True,False,3,432.700500,21.570000
2021-12-20,G2R,RED,AMBER,AMBER,GREEN,AMBER,AMBER,GREEN,0.013333,-0.577778,0.322222,-1,0,0,G2R,RED,AMBER,reduce,나쁜 쪽에 가까움,25,True,False,2,428.099365,22.870001
2021-12-21,AMBER,RED,AMBER,AMBER,GREEN,AMBER,AMBER,GREEN,0.093333,-0.577778,0.322222,-1,0,0,G2R,RED,AMBER,reduce,나쁜 쪽에 가까움,25,True,False,2,435.701965,21.010000
2021-12-22,GREEN,RED,AMBER,AMBER,GREEN,AMBER,AMBER,AMBER,0.120000,-0.577778,0.322222,1,-1,0,R2G,RED,AMBER,neutral,방향이 뚜렷하지 않음,25,True,False,2,440.058411,18.629999
2021-12-23,GREEN,GREEN,AMBER,AMBER,GREEN,AMBER,AMBER,GREEN,0.653333,-0.577778,0.322222,1,0,0,GREEN,RED,AMBER,neutral,방향이 뚜렷하지 않음,25,True,False,2,442.796478,17.959999
2021-12-27,GREEN,GREEN,GREEN,AMBER,GREEN,AMBER,GREEN,GREEN,0.893333,0.488889,0.822222,1,1,1,GREEN,GREEN,GREEN,hold,꾸준한 상승 흐름,25,True,False,7,449.063049,17.680000
2021-12-28,GREEN,GREEN,GREEN,AMBER,GREEN,AMBER,GREEN,AMBER,0.760000,0.222222,0.822222,1,1,1,GREEN,R2G,GREEN,hold,좋은 쪽에 가까움,25,True,False,6,448.696075,17.540001
2021-12-29,GREEN,GREEN,GREEN,GREEN,GREEN,AMBER,GREEN,G2R,0.800000,0.400000,1.000000,0,1,1,GREEN,R2G,GREEN,hold,좋은 쪽에 가까움,25,True,False,8,449.270081,16.950001
2021-12-30,GREEN,GREEN,GREEN,AMBER,GREEN,AMBER,GREEN,G2R,0.693333,0.222222,0.822222,-1,1,1,G2R,R2G,GREEN,neutral,방향이 뚜렷하지 않음,25,True,False,8,448.028046,17.330000
2021-12-31,AMBER,GREEN,GREEN,AMBER,GREEN,AMBER,GREEN,G2R,0.533333,0.088889,0.822222,-1,1,1,G2R,R2G,GREEN,neutral,방향이 뚜렷하지 않음,25,True,False,6,446.898895,17.219999
2022-01-03,GREEN,G2R,GREEN,GREEN,GREEN,AMBER,GREEN,G2R,0.500000,0.777778,0.666667,-1,1,1,G2R,GREEN,GREEN,caution,단기 과열 뒤 주춤,25,True,False,10,449.486481,16.600000
2022-01-04,GREEN,G2R,GREEN,GREEN,GREEN,AMBER,GREEN,G2R,0.500000,0.777778,0.400000,-1,1,1,G2R,GREEN,R2G,caution,신호가 엇갈림,25,True,False,10,449.335876,16.910000
2022-01-05,AMBER,G2R,AMBER,AMBER,GREEN,AMBER,GREEN,G2R,0.100000,-0.444444,0.088889,-1,-1,-1,G2R,G2R,G2R,reduce,시장 전체가 내리막,25,True,False,7,440.707703,19.730000
2022-01-06,AMBER,RED,AMBER,AMBER,GREEN,AMBER,GREEN,G2R,0.000000,-0.444444,0.088889,-1,-1,-1,G2R,G2R,G2R,reduce,시장 전체가 내리막,25,True,False,5,440.293762,19.610001
2022-01-07,G2R,RED,AMBER,AMBER,GREEN,AMBER,GREEN,G2R,-0.080000,-0.577778,0.088889,-1,-1,-1,G2R,RED,G2R,reduce,시장 전체가 내리막,25,True,False,7,438.552979,18.760000
2022-01-10,G2R,RED,AMBER,AMBER,GREEN,AMBER,GREEN,G2R,-0.080000,-0.177778,0.088889,-1,-1,-1,G2R,G2R,G2R,reduce,시장 전체가 내리막,25,True,False,8,438.007233,19.400000
2022-01-11,G2R,RED,GREEN,AMBER,GREEN,AMBER,GREEN,G2R,0.053333,-0.177778,0.088889,-1,-1,-1,G2R,G2R,G2R,reduce,시장 전체가 내리막,25,True,False,9,441.996796,18.410000
2022-01-12,GREEN,RED,GREEN,AMBER,GREEN,AMBER,GREEN,GREEN,0.493333,-0.177778,0.088889,1,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,25,True,False,10,443.191681,17.620001
2022-01-13,G2R,RED,AMBER,AMBER,GREEN,AMBER,GREEN,AMBER,-0.013333,-0.444444,0.000000,0,0,-1,AMBER,AMBER,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,6,437.085114,20.309999
2022-01-14,GREEN,RED,GREEN,AMBER,GREEN,AMBER,GREEN,GREEN,0.493333,-0.177778,0.088889,1,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,25,True,False,8,437.263885,19.190001
2022-01-18,AMBER,RED,AMBER,AMBER,GREEN,AMBER,GREEN,AMBER,0.066667,-0.666667,0.000000,-1,-1,-1,G2R,RED,G2R,reduce,시장 전체가 내리막,25,True,False,6,429.520172,22.790001
2022-01-19,G2R,RED,AMBER,G2R,AMBER,AMBER,GREEN,G2R,-0.293333,-0.666667,0.000000,-1,-1,-1,G2R,RED,G2R,reduce,시장 전체가 내리막,25,True,False,7,425.060211,23.850000
2022-01-20,G2R,RED,AMBER,G2R,AMBER,AMBER,GREEN,G2R,-0.293333,-0.666667,0.000000,-1,-1,-1,G2R,RED,G2R,reduce,시장 전체가 내리막,25,True,False,5,420.355621,25.590000
2022-01-21,RED,RED,AMBER,RED,R2G,RED,RED,RED,-0.626667,-1.000000,-0.333333,-1,-1,-1,RED,RED,G2R,reduce,시장 전체가 내리막,25,True,False,0,412.103790,28.850000
2022-01-24,RED,RED,RED,RED,R2G,RED,RED,RED,-0.760000,-1.000000,-0.333333,-1,-1,-1,RED,RED,G2R,reduce,시장 전체가 내리막,25,True,False,0,413.853882,29.900000
2022-01-25,RED,RED,RED,RED,R2G,RED,RED,RED,-0.760000,-1.000000,-0.333333,-1,-1,-1,RED,RED,G2R,reduce,시장 전체가 내리막,25,True,False,1,408.801056,31.160000
2022-01-26,RED,RED,RED,RED,R2G,RED,RED,RED,-0.760000,-1.000000,-0.333333,0,-1,-1,RED,RED,G2R,reduce,시장 전체가 내리막,25,True,False,1,407.775574,31.959999
2022-01-27,RED,RED,RED,RED,R2G,RED,RED,RED,-0.760000,-1.000000,-0.333333,0,-1,-1,RED,RED,G2R,reduce,시장 전체가 내리막,25,True,False,2,405.761993,30.490000
2022-01-28,RED,R2G,R2G,AMBER,R2G,RED,RED,R2G,0.046667,-0.822222,-0.155556,1,1,-1,R2G,R2G,G2R,buy,바닥을 다지는 중,25,True,False,2,415.839233,27.660000
2022-01-31,GREEN,R2G,AMBER,AMBER,AMBER,AMBER,GREEN,GREEN,0.500000,-0.666667,0.000000,1,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,25,True,False,5,423.328949,24.830000
2022-02-01,GREEN,R2G,AMBER,AMBER,AMBER,AMBER,AMBER,GREEN,0.393333,-0.577778,-0.411111,1,1,-1,R2G,R2G,G2R,buy,바닥을 다지는 중,25,True,False,4,426.189270,21.959999
2022-02-02,GREEN,GREEN,AMBER,AMBER,GREEN,AMBER,AMBER,GREEN,0.653333,-0.577778,-0.411111,1,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,25,True,False,4,430.329346,22.090000
2022-02-03,GREEN,GREEN,AMBER,AMBER,AMBER,AMBER,GREEN,GREEN,0.600000,-0.666667,-0.411111,1,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,25,True,False,5,420.214508,24.350000
2022-02-04,GREEN,GREEN,AMBER,AMBER,AMBER,AMBER,GREEN,GREEN,0.600000,-0.555556,-0.411111,1,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,25,True,False,5,422.190399,23.219999
2022-02-07,G2R,GREEN,AMBER,AMBER,AMBER,AMBER,GREEN,GREEN,0.360000,-0.244444,-0.411111,-1,1,-1,G2R,R2G,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,5,420.835480,22.860001
2022-02-08,G2R,GREEN,AMBER,AMBER,AMBER,AMBER,GREEN,GREEN,0.360000,-0.244444,-0.411111,-1,1,-1,G2R,R2G,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,6,424.298004,21.440001
2022-02-09,AMBER,GREEN,AMBER,AMBER,AMBER,AMBER,GREEN,GREEN,0.440000,-0.244444,-0.411111,-1,1,-1,G2R,R2G,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,5,430.508118,19.959999
2022-02-10,GREEN,GREEN,AMBER,AMBER,AMBER,AMBER,AMBER,GREEN,0.493333,-0.333333,-0.411111,1,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,25,True,False,4,422.773743,23.910000
2022-02-11,RED,GREEN,AMBER,AMBER,R2G,RED,RED,RED,-0.120000,-0.822222,-0.655556,-1,-1,-1,G2R,RED,RED,reduce,시장 전체가 내리막,25,True,False,2,414.437164,27.360001
2022-02-14,AMBER,G2R,AMBER,RED,R2G,RED,RED,RED,-0.366667,-1.000000,-0.833333,-1,-1,-1,G2R,RED,RED,reduce,시장 전체가 내리막,25,True,False,1,413.082245,28.330000
2022-02-15,GREEN,GREEN,AMBER,G2R,AMBER,AMBER,GREEN,GREEN,0.546667,-0.111111,-0.411111,0,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,25,True,False,5,419.743988,25.700001
2022-02-16,GREEN,GREEN,AMBER,G2R,AMBER,AMBER,GREEN,AMBER,0.413333,-0.111111,-0.411111,1,1,-1,R2G,R2G,G2R,buy,바닥을 다지는 중,25,True,False,7,420.214508,24.290001
2022-02-17,AMBER,RED,AMBER,RED,R2G,RED,RED,RED,-0.466667,-1.000000,-0.833333,-1,-1,-1,RED,RED,RED,reduce,시장 전체가 내리막,25,True,False,2,411.238098,28.110001
